Geography,ES-over16,ES-over16-iLF,ES-over16-iLF-CIV,ES-over16-iLF-CIV-E,ES-over16-iLF-CIV-UE,ES-over16-iLF-AF,ES-over16-oLF,ES-over16-F-iLF,ES-over16-F-iLF-CIV,ES-over16-F-iLF-CIV-E,CTW-over16,CTW-over16-CTV-alone,OCC-over16-iLF-CIV-E-mgmt_biz_sci_arts,OCC-over16-iLF-CIV-E-prod_trans_materials,IND-over16-iLF-CIV-E - Manufacturing,COW-over16-iLF-CIV-E-private_emp,COW-over16-iLF-CIV-E-govt,INC - Total households,INC - Wage.Earner.Count,INC - Social.Security.Recip.Cnt,INC - Food.Stamp.Cnt,INC - Families,INC - NonFam,HIC-Civilian.NIP,HIC-Civilian.NIP-Covered,HIC-Civilian.NIP-Covered-Private,HIC-Civilian.NIP-Covered-Public,HIC-Civilian.NIP-Uninsured,HIC-Civilian.NIP <Age19,HIC-Civilian.NIP Age19-64,HIC-Civilian.NIP Age19-64-iLF,HIC-Civilian.NIP Age19-64-iLF-E,HIC-Civilian.NIP Age19-64-iLF-E-Covered,HIC-Civilian.NIP Age19-64-iLF-E-Covered-Private,HIC-Civilian.NIP Age19-64-iLF-E-Uninsured,HIC-Civilian.NIP Age19-64-iLF-UE,HIC-Civilian.NIP Age19-64-iLF-UE-Covered,HIC-Civilian.NIP Age19-64-iLF-UE-Uninsured,HIC-Civilian.NIP Age19-64-oLF,HIC-Civilian.NIP Age19-64-oLF-Covered,above_average_median,above_weighted_median,modal_income
"Autauga County, Alabama",42974,0.603364825,0.591892772,0.561083446,0.030809327,0.011472053,0.396635175,0.462378032,0.470160403,0.466987392,0.956321749,0.859650565,0.353060717,0.153948242,0.133211679,0.741290644,0.201808228,21054,0.751876128,0.336990596,0.129334093,14904,6150,54170,0.912202326,0.717685066,0.327801366,0.087797674,14256,32211,0.748998789,0.71488001,0.893776871,0.876449386,0.106223129,0.034118779,0.614194722,0.385805278,0.251001211,6654,1,0,6
"Baldwin County, Alabama",163759,0.579925378,0.578545301,0.546699723,0.031845578,0.001380077,0.420074622,0.471063937,0.471892086,0.47198052,0.927117857,0.847194235,0.357411731,0.107755202,0.098037464,0.807477074,0.128720945,76133,0.711938318,0.390238136,0.081002982,50029,26104,200929,0.892141005,0.695564105,0.348794848,0.107858995,47382,115461,0.748625077,0.708507635,0.846647515,0.814779048,0.153352485,0.040117442,0.550518135,0.449481865,0.251374923,23836,1,0,6
"Barbour County, Alabama",21241,0.477331576,0.477331576,0.417965256,0.05936632,0,0.522668424,0.464838741,0.464838741,0.463505294,0.856396094,0.834043533,0.250056319,0.240707367,0.237553503,0.740707367,0.191484569,9191,0.669676858,0.410292678,0.265368295,6041,3150,23326,0.876875589,0.542484781,0.492111807,0.123124411,5795,13172,0.691466748,0.602566049,0.836084163,0.757213053,0.163915837,0.088900698,0.55764304,0.44235696,0.308533252,3282,0,0,3
"Bibb County, Alabama",18415,0.48335596,0.483247353,0.443714363,0.039532989,0.000108607,0.51664404,0.43983822,0.439937072,0.436054339,0.901674345,0.863659023,0.243666626,0.224329947,0.205482805,0.759515359,0.173785338,6916,0.690138809,0.398351648,0.128253326,5302,1614,20553,0.918989928,0.678100521,0.38539386,0.081010072,4957,12344,0.66882696,0.615521711,0.909449855,0.881679389,0.090550145,0.05330525,0.612462006,0.387537994,0.33117304,3455,0,0,6
"Blount County, Alabama",45924,0.48989635,0.489308423,0.465551781,0.023756641,0.000587928,0.51010365,0.433949684,0.433937074,0.431945744,0.944773263,0.867922751,0.285173059,0.194855005,0.148129093,0.83919551,0.119130028,20690,0.69101015,0.373078782,0.106669889,15309,5381,57207,0.889698813,0.677329697,0.351722691,0.110301187,14240,33217,0.635006172,0.605141945,0.879458733,0.859260733,0.120541267,0.029864226,0.5625,0.4375,0.364993828,9571,0,0,6
"Bullock County, Alabama",8517,0.573206528,0.573206528,0.503698485,0.069508043,0,0.426793472,0.408848832,0.408848832,0.416550117,0.878738222,0.730769231,0.196969697,0.305827506,0.305128205,0.813986014,0.136363636,3670,0.6626703,0.417166213,0.245776567,2424,1246,10113,0.859092257,0.495698606,0.469593592,0.140907743,2285,6317,0.705556435,0.617223366,0.835342395,0.719415235,0.164657605,0.088333069,0.602150538,0.397849462,0.294443565,1339,0,0,1
"Butler County, Alabama",16078,0.521582286,0.520400547,0.480594601,0.039805946,0.001181739,0.478417714,0.511686144,0.512130991,0.51093568,0.91107924,0.835629017,0.268668306,0.256503171,0.220654847,0.790604374,0.152970105,7050,0.671631206,0.424680851,0.193049645,4565,2485,19832,0.886446148,0.60331787,0.43480234,0.113553852,4727,11523,0.675258179,0.625097631,0.838123004,0.795779536,0.161876996,0.050160548,0.589965398,0.410034602,0.324741821,3025,0,0,3
"Calhoun County, Alabama",93148,0.569158758,0.565777043,0.508781724,0.056995319,0.003381715,0.430841242,0.477629395,0.480294492,0.475860905,0.878332479,0.850223595,0.289500338,0.194188893,0.169184673,0.74862846,0.199421843,45099,0.712255261,0.39737023,0.17831881,30704,14395,113964,0.895642484,0.664367695,0.404039872,0.104357516,27173,68257,0.7152966,0.64577992,0.865287325,0.829238413,0.134712675,0.06951668,0.528977871,0.471022129,0.2847034,16226,0,0,6
"Chambers County, Alabama",27447,0.565890626,0.565489853,0.529274602,0.036215251,0.000400772,0.434109374,0.467035797,0.466658076,0.467887382,0.917531087,0.871076469,0.243202313,0.276175398,0.281751222,0.845047154,0.117505335,13694,0.675259238,0.410690813,0.164086461,8690,5004,33513,0.878196521,0.595112344,0.421746785,0.121803479,7552,19867,0.723209342,0.676096039,0.860556879,0.827948183,0.139443121,0.047113303,0.39957265,0.60042735,0.276790658,4220,0,0,3
"Cherokee County, Alabama",21387,0.487959976,0.487959976,0.461916117,0.026043858,0,0.512040024,0.424204676,0.424204676,0.427371191,0.932445381,0.849758504,0.287680939,0.26480413,0.243648143,0.747646523,0.171474846,10795,0.611949977,0.475034738,0.172209356,7566,3229,25561,0.909823559,0.647040413,0.448339267,0.090176441,5473,14818,0.650627615,0.618369551,0.886936593,0.858015934,0.113063407,0.032258065,0.537656904,0.462343096,0.349372385,4316,0,0,6
"Chilton County, Alabama",34509,0.549508824,0.549016199,0.512185227,0.036830972,0.000492625,0.450491176,0.436165164,0.435659242,0.446676096,0.91766072,0.831761187,0.252899576,0.20950495,0.139292786,0.811145686,0.140028289,16768,0.714635019,0.363668893,0.182490458,11920,4848,43473,0.852138109,0.619510961,0.365974283,0.147861891,11043,25777,0.676727315,0.633704465,0.810345883,0.790266299,0.189654117,0.04302285,0.458070334,0.541929666,0.323272685,6276,0,0,6
"Choctaw County, Alabama",10850,0.439539171,0.439539171,0.39640553,0.043133641,0,0.560460829,0.480813588,0.480813588,0.47942339,0.886978402,0.817966903,0.23599163,0.219483841,0.184143223,0.798651476,0.148105092,5463,0.559399597,0.484166209,0.257367747,3594,1869,13060,0.890352221,0.575650842,0.484686064,0.109647779,2866,7424,0.592268319,0.535021552,0.826787513,0.771148036,0.173212487,0.057246767,0.543529412,0.456470588,0.407731681,2508,0,0,3
"Clarke County, Alabama",19863,0.471479636,0.471076877,0.399385793,0.071691084,0.000402759,0.528520364,0.46033102,0.460724591,0.443464011,0.834134872,0.836643177,0.216185554,0.255893105,0.220975671,0.830959284,0.117862095,9602,0.580087482,0.414809415,0.194126224,6038,3564,24341,0.891294524,0.566574915,0.475658354,0.108705476,5779,14172,0.601891053,0.511078182,0.889410465,0.858207925,0.110589535,0.09081287,0.603729604,0.396270396,0.398108947,4462,0,0,1
"Clay County, Alabama",10878,0.54127597,0.54127597,0.506435006,0.034840963,0,0.45872403,0.458559783,0.458559783,0.45888546,0.917459239,0.875231396,0.222000363,0.319114177,0.338718461,0.778362679,0.144672354,5338,0.679280629,0.423192207,0.14911952,3742,1596,13153,0.868395043,0.626320991,0.402493728,0.131604957,3092,7624,0.695566632,0.652806925,0.822985734,0.782800884,0.177014266,0.042759706,0.662576687,0.337423313,0.304433368,1812,0,0,6
"Cleburne County, Alabama",11843,0.528666723,0.526218019,0.484927805,0.041290214,0.002448704,0.471333277,0.434754831,0.43677792,0.441232805,0.877567394,0.818248309,0.256834407,0.217308027,0.197109525,0.76110047,0.156886645,5773,0.636584098,0.432703967,0.156071367,3879,1894,14758,0.8556715,0.592085648,0.422143922,0.1443285,3643,8428,0.678215472,0.630754627,0.816403311,0.752257336,0.183596689,0.047460845,0.495,0.505,0.321784528,2071,0,0,6
"Coffee County, Alabama",40416,0.596595408,0.569823832,0.53540677,0.034417063,0.026771576,0.403404592,0.4601858,0.478158923,0.476962891,0.962179766,0.866465093,0.315911086,0.167382966,0.125883821,0.735523823,0.207310874,19620,0.752599388,0.344393476,0.132874618,13431,6189,49425,0.895053111,0.695983814,0.368295397,0.104946889,12823,28731,0.734189551,0.688629007,0.855547132,0.82011625,0.144452868,0.045560544,0.598166539,0.401833461,0.265810449,6365,1,0,6
